,,,,,,,
,Artifact Type – Problem Description (Online Project Management System),,,,,,
,"A company is comprised of two to eight departments. Each department has an ID and email. A department hires employees for certain projects. Employees working on projects can be temporary or permanent employees. Each employee is identified by a name, email, employee ID, employee number. Projects can be of types - production projects, research projects, education projects, and community projects. All projects have a title, description, budget amount, and deadline. In addition , each education project and community project are associated with one funding group. The funding group can be of types - private group, government group, or mixed group. The production projects are characterized by a site code.",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Artifact Type – Some Possible Variations in the Ground Truth Domain Model,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"Number of elements in the variation which is closely related to extracted model - Classes – 11, Attributes – 18 (including enumeration items), Relationships (10), Cardinalities (12)",,,,,,
,,,,,,,
,Artifact Type – Extracted Domain Model using our Proposed Tool,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Category,Trace  Link Source,Manual Trace  Link Target,Manual Meta-data (sentence),Manual Meta-data (word),,
,Class,Company,A company is comprised of two to eight departments,S1,company [1],,
,Class,Department,A company is comprised of two to eight departments,S1,departments [8],,
,,,Each department has an ID and email,S2,departments [1],,
,,,A department hires employees for certain projects,S3,departments [1],,
,Class,Employee,A department hires employees for certain projects,S3,employees [3],,
,,,Employees working on projects can be temporary or permanent employees.,S4,Employees [0],,
,,,"Each employee is identified by a name , email , employee ID , employee number ",S5,employee [1],,
,Class,Project,A department hires employees for certain projects,S3,projects [6],,
,,,"Projects can be of types - production projects , research projects , education projects , and community projects ",S6,Projects [0],,
,,,Employees working on projects can be temporary or permanent employees .,S4, projects [3],,
,,,"All projects have a title , description , budget amount , and deadline . ",S7,projects [1],,
,Class,ProductionProject,"Projects can be of types - production projects , research projects , education projects , and community projects ",S6,"production projects [5,6]",,
,,,The production projects are characterized by a site code .,S10,"production projects [1,2]",,
,Class,EducationProject,"Projects can be of types - production projects , research projects , education projects , and community projects ",S6,"education projects [9,10]",,
,,,"In addition , each education project and community project are associated with one funding group . ",S8,"education projects [3,4]",,
,Class,ResearchProject,"Projects can be of types - production projects , research projects , education projects , and community projects ",S6,"research projects [7,8]",,
,Class,CommunityProject,"Projects can be of types - production projects , research projects , education projects , and community projects ",S6,"community projects [12,13]",,
,,,"In addition , each education project and community project are associated with one funding group . ",S8,"community projects [6,7]",,
,Class,FundingGroup,"In addition , each education project and community project are associated with one funding group . ",S8,"funding group [12,13]",,
,,,"The funding group can be of types - private group , government group , or mixed group ",S9,"funding group [1,2]",,
,Enumeration Class,GroupType,"The funding group can be of types - private group , government group , or mixed group ",S9,"private group [7,8], government group [9,10] , mixed group [12,13] ","The use of Enumeration restricts an object of the FundingGroup class to have one role (among GovernmentGroup, PrivateGroup, MixedGroup) only at a time but the object can have different roles over time (the role of an object can change by changing the value of the Enumeration attribute). Furthermore, the use of the Enumeration class is appropriate in the current scenario as the roles (GovernmentGroup, PrivateGroup, MixedGroup) do not have different features (attributes or relationships).",
,Enumeration Class,EmployeeType,Employees working on projects can be temporary or permanent employees .,S4,"temporary [3] permanent employees [5,6]",,
,Class - Relevant Links (TP + FN),,,22,,,
,Attribute,id (Department class),Each department has an ID and email,S2,ID [4],,
,Attribute,email (Department class),Each department has an ID and email,S2, email [6],,
,Attribute,name (Employee class),"Each employee is identified by a name , email , employee ID , employee number ",S5,name [6],,
,Attribute,email (Employee class),"Each employee is identified by a name , email , employee ID , employee number ",S5,  email [7],,
,Attribute,employeeId (Employee class),"Each employee is identified by a name , email , employee ID , employee number ",S5," employee ID [8,9]",,
